;Tset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl;AnzahlVS;FilterGr;FilterGrVS;FilterNum;FilterNumVS;FilterPos;FilterPosVS;Invers;InversVS;Limit;LimitVS;Ober;OberVS;Regex;RegexVS;Reihenfolge;ReihenfolgeVS;Select;SelectVS;SelectVSVS;Struktur;StrukturVS;Subselect;SubselectVS;Type;TypeVS;Union;UnionVS;Path;PathVS;Distinct;DistinctVS;DistinctVSVS;Minus;MinusVS;MinusVSVS
1971,35;8,32;6300,77;6295,78;4010,94;3974,71;3997;3964,95;2,51;2,86;4092,91;3,79;3,92;1982,28;3994,32;2006;4047,75;38,51;5,06;1892,75;3,05;3,92;2,43;2,78;3,21;2,49;1911,93;4025,37;6306,51;2,95;1967,57;7971,64;8177,91;8050,84;3877,32;2115,05;12,55
56,83;13,58;1899,64;6231;2025,48;3940,5;6044,75;5942,63;3,88;1980,85;2117,19;3,14;2,74;9,53;4016,57;4072,05;2043,9;1914,54;1914,77;4,25;3,82;3,68;2,36;2,73;2,9;2,54;8,69;4007,28;4106,37;1940,87;3,49;10007,96;7982,93;8091,83;3893,58;2085,32;1853,99
2491,56;2156,97;5800,2;4454,64;4564;3939,9;2032,34;2053,36;3,16;3,66;4087,85;2008;1937,03;2048,39;2042,31;2012,74;4028,31;1892,35;7,06;4,59;3,36;3,55;2,29;3,94;6,47;3,8;8,79;6036,53;3992,76;3,44;3,81;9915,51;8039,93;8052,19;3999,23;3962,12;9,38
56,13;7,77;4436,09;5855,86;4561,78;3939,44;3978,21;4049,56;2017,52;3,57;4136,29;3,29;2,84;10,06;4038,5;2044,16;2038,84;38,07;6,83;4,72;3,25;4,52;2,32;3,17;3,61;2,77;1942,04;3999,25;6116,89;3,03;3,23;8011,17;8199,25;8030,5;3941,45;2315,48;1779,73
2114,72;3,84;7731,75;1957,05;2535,12;4054,3;6075,84;6054,82;3,2;3,39;2155,06;3,29;2,64;9,38;3994,19;3989,39;2050,02;1923,07;3,91;1929,43;1920,57;1961,02;1948,89;1858,4;1963,21;2118,05;8,89;4071,14;4149,98;3,39;1923,32;10074,77;8192,76;8154,32;3959,37;2070,88;12,32
55,24;4,82;6456,96;1902,79;2525,14;3925,98;8011,88;7970,41;2,93;3,32;4084,75;4,06;8,63;2013,36;2013,77;2046,08;4026,93;1942,61;5,24;3,9;3,23;2,96;3,18;2,95;2,73;4,04;1958,52;6115,27;6110,64;3,58;3,07;10378,6;8037,92;8054,08;3873,69;3994,35;1809,81
3759,44;4,8;2443,46;3989,54;1901,37;4030,47;8104,29;8021,78;4,49;1951,93;2149,62;3,25;3,09;9,12;3914,32;2026,47;2080,9;39,1;1932,36;4,29;3,72;2,99;3,23;3,05;2,94;3,73;9,96;5969,53;4202,07;1986,11;2,98;8121,21;8042,72;8138,65;3912,5;2021,01;9,98
58,85;7,48;6352,84;4697,53;3975,26;4021,48;2023,02;2003,63;4,74;4,1;4526,95;2574,12;2032,18;9,3;4060,79;3916,05;4058,54;1933,74;4,57;3,74;12,15;3,8;3,96;3,59;4,05;6,84;12,7;6058,09;4143,42;4,45;4,18;9850,06;8019,46;8148,35;4068,13;2027,94;1789,48
2437,55;2132,03;1986,3;6761,57;2519,48;4001,94;8879,83;8155,77;2010,38;4,61;4074,95;4,48;4,33;2017,88;2051,15;2020,96;2071,44;1929,35;8,49;1929,87;3,34;3,03;3,09;3,37;2,97;2,96;1991,9;6074,1;6127,06;3,03;1959,79;10075,61;7997,93;7987,6;3990,88;3967,83;12,67
56,1;6,02;6351,23;3929,21;1892,55;4027,17;8602,57;8427,49;2,82;4,02;2163,44;3,73;3,76;9,53;3976,08;2024,55;2046,61;38,08;8,4;5,61;1924,14;1943,88;1961,05;1882,59;1994,96;2006,55;11,76;6059,42;4074,55;2,95;2,86;8053,02;8126,15;8030,56;4000,32;1986,21;1795,5
